order,sub_no,cond,trial,id,x,t,y,u,choice
0,3,1,80,101,410,365,10,7,0
0,3,1,81,63,490,60,410,14,1
0,3,1,82,99,460,7,10,1,0
0,3,1,83,140,490,182.5,490,2,1
0,3,1,84,25,490,2,10,1,0
0,3,1,85,116,500,365,460,182.5,1
0,3,1,86,69,410,2,10,1,0
0,3,1,87,107,500,365,490,1,1
0,3,1,88,129,310,2,310,1,1
0,3,1,89,132,10,182.5,10,60,1
0,3,1,90,60,500,365,460,7,1
0,3,1,91,127,500,2,10,7,0
0,3,1,92,143,460,7,410,7,0
0,3,1,93,40,490,30,10,14,0
0,3,1,94,89,500,7,460,2,1
0,3,1,95,111,490,182.5,410,30,1
0,3,1,96,16,490,14,460,1,1
0,3,1,97,67,500,14,410,2,1
0,3,1,98,56,500,182.5,410,2,1
0,3,1,99,136,460,14,310,14,1
0,3,1,100,15,310,182.5,10,60,0
0,3,1,101,14,490,182.5,460,60,1
0,3,1,102,11,500,60,310,7,0
0,3,1,103,36,500,30,460,2,1
0,3,1,104,91,310,14,10,1,0
0,3,1,105,74,410,30,310,14,1
0,3,1,106,125,500,1,490,7,0
0,3,1,107,144,10,182.5,10,7,1
0,3,1,108,126,500,60,460,365,0
0,3,1,109,53,490,30,460,1,1
0,3,1,110,148,500,182.5,490,365,0
0,3,1,111,78,500,7,410,1,1
0,3,1,112,85,460,182.5,10,1,0
0,3,1,113,5,410,182.5,310,14,1
0,3,1,114,9,500,182.5,10,14,0
0,3,1,115,18,500,60,410,30,1
0,3,1,116,130,460,60,10,182.5,0
0,3,1,117,7,460,182.5,10,7,0
0,3,1,118,66,460,365,310,1,1
0,3,1,119,112,500,182.5,490,7,1
0,3,1,120,65,490,182.5,410,7,1
0,3,1,121,34,490,60,410,1,1
0,3,1,122,52,460,14,310,7,0
0,3,1,123,3,500,60,410,1,1
0,3,1,124,43,310,60,10,14,0
0,3,1,125,124,460,182.5,10,365,0
0,3,1,126,71,500,182.5,10,1,0
0,3,1,127,117,490,60,10,30,0
0,3,1,128,51,310,30,10,2,0
0,3,1,129,1,500,60,310,2,1
0,3,1,130,61,500,60,10,1,0
0,3,1,131,97,500,60,460,2,1
0,3,1,132,19,490,60,10,2,0
0,3,1,133,70,460,14,410,7,1
0,3,1,134,30,410,60,310,14,1
0,3,1,135,100,500,182.5,460,7,1
0,3,1,136,59,490,14,410,1,1
0,3,1,137,123,460,2,10,14,0
0,3,1,138,38,500,182.5,490,14,1
0,3,1,139,109,490,365,460,14,1
0,3,1,140,13,410,60,10,2,0
0,3,1,141,21,500,7,490,2,1
0,3,1,142,137,490,7,10,182.5,0
0,3,1,143,147,500,182.5,500,60,1
0,3,1,144,102,500,30,490,2,1
0,3,1,145,88,310,182.5,10,1,0
